,Num_goals=1,Num_goals=2,Num_goals=3,Num_goals=4,Num_goals=5,Num_goals=6,Num_goals=7,Num_goals=8,Num_goals=9,Num_goals=10,Num_goals=11,Num_goals=12
Depth=1,4.0,2.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depth=2,19.0,10.0,7.0,5.5,4.6,4.0,3.571428571428571,3.25,3.0,1.0,1.0,1.0
Depth=3,82.0,41.5,28.0,21.25,17.2,14.5,12.571428571428573,11.125,10.0,9.1,8.363636363636363,7.75
Depth=4,325.0,163.0,109.0,82.0,65.8,55.0,47.28571428571429,41.5,37.0,33.4,30.454545454545457,28.0
Depth=5,1216.0,608.5,406.0,304.75,244.0,203.5,174.57142857142856,152.875,136.0,122.5,111.45454545454545,102.25
Depth=6,4375.0,2188.0,1458.9999999999998,1094.5,875.8000000000001,729.9999999999999,625.8571428571428,547.75,487.0,438.40000000000003,398.6363636363636,365.49999999999994
Depth=7,15310.0,7655.5,5104.0,3828.25,3062.7999999999997,2552.5,2188.0,1914.625,1701.9999999999998,1531.8999999999999,1392.7272727272725,1276.75
Depth=8,52489.0,26245.0,17497.0,13123.0,10498.6,8749.0,7499.285714285715,6562.0,5833.0,5249.8,4772.636363636363,4375.0
Depth=9,177148.0,88574.5,59050.0,44287.75,35430.4,29525.5,25307.714285714286,22144.375,19684.0,17715.7,16105.272727272728,14763.25
Depth=10,590491.0,295246.0,196831.0,147623.5,118099.00000000001,98416.0,84356.71428571428,73812.25,65611.0,59050.00000000001,53681.90909090909,49208.5
Depth=11,1948618.0,974309.5,649540.0,487155.25,389724.39999999997,324770.5,278374.8571428571,243578.125,216514.0,194862.69999999998,177147.99999999997,162385.75
Depth=12,6377293.0,3188647.0,2125765.0,1594324.0,1275459.4000000001,1062883.0,911042.7142857143,797162.5,708589.0,637730.2000000001,579754.8181818182,531442.0
Depth=13,20726200.0,10363100.5,6908734.0,5181550.75,4145240.8000000003,3454367.5,2960886.5714285714,2590775.875,2302912.0,2072620.9000000001,1884200.909090909,1727184.25
Depth=14,66961567.0,33480784.0,22320523.0,16740392.5,13392314.200000001,11160262.0,9565939.0,8370196.75,7440175.0,6696157.600000001,6087416.090909091,5580131.5
Depth=15,215233606.0,107616803.5,71744536.0,53808402.25,43046722.0,35872268.5,30747658.85714286,26904201.625,23914846.0,21523361.5,19566692.363636363,17936134.75
Depth=1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Depth=2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0
Depth=3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Depth=4,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
Depth=5,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0
Depth=6,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
Depth=7,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0
Depth=8,3281.0,3281.0,3281.0,3281.0,3281.0,3281.0,3281.0,3281.0,3281.0,3281.0,3281.0,3281.0
Depth=9,9842.0,9842.0,9842.0,9842.0,9842.0,9842.0,9842.0,9842.0,9842.0,9842.0,9842.0,9842.0
Depth=10,29525.0,29525.0,29525.0,29525.0,29525.0,29525.0,29525.0,29525.0,29525.0,29525.0,29525.0,29525.0
Depth=11,88574.0,88574.0,88574.0,88574.0,88574.0,88574.0,88574.0,88574.0,88574.0,88574.0,88574.0,88574.0
Depth=12,265721.0,265721.0,265721.0,265721.0,265721.0,265721.0,265721.0,265721.0,265721.0,265721.0,265721.0,265721.0
Depth=13,797162.0,797162.0,797162.0,797162.0,797162.0,797162.0,797162.0,797162.0,797162.0,797162.0,797162.0,797162.0
Depth=14,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0,2391485.0
Depth=15,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0,7174454.0
Depth=1,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depth=2,27.0,13.5,9.0,6.75,5.3999999999999995,4.5,3.857142857142857,3.375,3.0,1.0,1.0,1.0
Depth=3,108.0,54.0,36.0,27.0,21.6,18.0,15.428571428571429,13.5,12.0,10.8,9.818181818181818,9.0
Depth=4,405.0,202.5,135.0,101.25,81.0,67.5,57.85714285714286,50.625,45.0,40.5,36.81818181818182,33.75
Depth=5,1457.9999999999998,728.9999999999999,486.0,364.49999999999994,291.6,243.0,208.28571428571428,182.24999999999997,162.0,145.8,132.54545454545453,121.5
Depth=6,5103.0,2551.5,1700.9999999999998,1275.75,1020.6,850.4999999999999,728.9999999999999,637.875,567.0,510.3,463.90909090909093,425.24999999999994
Depth=7,17496.0,8748.0,5832.0,4374.0,3499.2,2916.0,2499.4285714285716,2187.0,1943.9999999999998,1749.6,1590.5454545454545,1458.0
Depth=8,59049.0,29524.5,19683.0,14762.25,11809.8,9841.5,8435.57142857143,7381.125,6561.000000000001,5904.9,5368.090909090909,4920.75
Depth=9,196830.0,98415.0,65610.0,49207.5,39366.0,32805.0,28118.571428571428,24603.75,21870.0,19683.0,17893.636363636364,16402.5
Depth=10,649539.0,324769.5,216513.0,162384.75,129907.8,108256.5,92791.28571428571,81192.375,72171.0,64953.9,59049.0,54128.25
Depth=11,2125764.0,1062882.0,708588.0,531441.0,425152.8,354294.0,303680.5714285714,265720.5,236196.00000000003,212576.4,193251.2727272727,177147.0
Depth=12,6908733.0,3454366.5,2302911.0,1727183.25,1381746.6,1151455.5,986961.8571428572,863591.625,767637.0,690873.3,628066.6363636364,575727.75
Depth=13,22320522.0,11160261.0,7440174.0,5580130.5,4464104.4,3720087.0,3188646.0,2790065.25,2480058.0,2232052.2,2029138.3636363635,1860043.5
Depth=14,71744535.0,35872267.5,23914845.0,17936133.75,14348907.0,11957422.5,10249219.285714287,8968066.875,7971615.0,7174453.5,6522230.454545454,5978711.25
Depth=15,229582512.0,114791256.0,76527504.0,57395628.0,45916502.4,38263752.0,32797501.714285716,28697814.0,25509168.0,22958251.2,20871137.454545457,19131876.0
